Project_ID,Project_Phase,State,Region,Terrain_Type,Tower_Type,Substation_Type,Transmission_Length_KM,Budget_Crore,Material_Type,Lead_Time_Days,Tax_Percentage,Transportation_Cost,Historical_Consumption,Month,Year,Quantity_Required
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,51,14.49,11365.62,330.67,5,2023,870
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,50,21.43,12396.99,862.33,5,2023,2278
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,20,16.57,10315.31,1449.91,5,2023,3871
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,25,15.24,9788.07,9.43,5,2023,24
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,41,16.27,13596.18,457.72,6,2023,1054
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,53,13.65,12042.54,298.18,6,2023,767
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,38,21.43,10888.57,806.01,6,2023,2129
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,55,16.04,9475.09,1352.35,6,2023,4258
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,17,15.01,10678.65,8.15,6,2023,21
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,16,17.03,9401.69,364.58,7,2023,869
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,16,17.31,11570.27,306.35,7,2023,668
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,18,12.81,11142.75,717.49,7,2023,1759
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,48,18.34,12051.76,1254.17,7,2023,4044
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,47,13.51,11900.86,10.78,7,2023,24
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,50,12.17,11922.17,356.24,8,2023,1018
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,46,12.96,14266.54,287.71,8,2023,765
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,25,15.41,9740.93,935.9,8,2023,1764
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,44,18.96,10370.63,1304.97,8,2023,3577
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,16,21.96,14402.77,10.23,8,2023,21
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,46,18.33,10975.17,375.87,9,2023,971
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,38,16.05,13977.88,342.11,9,2023,697
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,22,19.85,12780.7,825.82,9,2023,1757
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,39,12.05,9999.94,1529.24,9,2023,3422
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,49,18.52,10347.2,10.85,9,2023,23
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,34,15.66,13192.1,435.35,10,2023,862
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,47,17.43,11904.23,316.36,10,2023,743
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,52,15.93,14001.28,841.96,10,2023,1821
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,48,15.5,12650.01,1601.35,10,2023,3566
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,33,17.72,13325.53,8.17,10,2023,23
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,58,21.4,14339.9,466.38,11,2023,1042
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,45,21.64,13787.67,275.33,11,2023,774
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,35,13.91,10589.09,795.29,11,2023,1781
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,17,17.7,9651.75,1569.0,11,2023,3038
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,36,15.59,10510.78,9.18,11,2023,25
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,23,19.02,11087.14,366.97,12,2023,932
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,40,20.1,13864.62,349.59,12,2023,789
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,59,13.94,9508.19,766.97,12,2023,2642
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,28,20.9,10969.51,1425.35,12,2023,3687
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,36,15.28,9968.39,11.93,12,2023,24
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,36,17.91,9286.9,325.98,1,2024,1681
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,51,17.22,13333.4,265.9,1,2024,1448
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,19,16.57,13727.55,702.2,1,2024,3462
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,54,19.26,14459.86,1509.78,1,2024,6695
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,44,12.41,11302.35,9.73,1,2024,42
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,40,21.63,13694.48,431.36,2,2024,1889
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,15,13.73,9976.02,270.03,2,2024,1325
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,54,21.35,12612.62,805.34,2,2024,3914
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,19,18.12,11416.05,1348.64,2,2024,6596
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,43,13.16,9371.73,8.16,2,2024,44
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,19,16.74,9655.35,398.66,3,2024,1566
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,44,18.5,9382.98,353.9,3,2024,1391
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,50,12.45,11169.88,840.28,3,2024,4045
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,19,18.84,12489.94,1766.33,3,2024,6283
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,16,12.27,12325.36,11.76,3,2024,37
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,47,16.58,12105.62,470.63,4,2024,1985
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,17,20.2,12684.92,264.8,4,2024,1175
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,16,12.39,12503.09,747.7,4,2024,3149
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,40,15.19,13743.16,1213.96,4,2024,6597
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,18,18.93,11026.1,11.75,4,2024,42
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,50,16.18,14414.6,407.68,5,2024,1977
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,49,21.91,11377.84,284.64,5,2024,1235
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,53,17.81,13864.86,819.8,5,2024,3834
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,37,19.55,9684.29,1741.53,5,2024,6126
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,34,20.26,10871.31,11.58,5,2024,43
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,33,16.93,9575.73,334.67,6,2024,1609
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,26,15.29,12800.02,330.28,6,2024,1215
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,59,21.31,14451.09,958.7,6,2024,3714
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,19,19.37,12107.25,1623.5,6,2024,5734
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,52,12.84,12955.7,8.29,6,2024,43
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,41,19.06,9565.14,333.57,7,2024,1683
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,21,21.86,13242.49,285.15,7,2024,1068
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,45,16.82,11188.35,865.63,7,2024,3107
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,17,14.54,11337.27,1542.88,7,2024,5059
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,34,13.19,9763.1,10.6,7,2024,39
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,39,20.69,10343.52,474.12,8,2024,1633
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,58,21.78,12162.46,278.72,8,2024,1218
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,33,21.69,11982.39,841.41,8,2024,3001
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,28,14.94,14569.19,1618.16,8,2024,5818
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,25,14.81,14320.65,11.56,8,2024,34
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,26,13.07,10956.73,347.15,9,2024,1328
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,42,12.78,14451.89,358.35,9,2024,1225
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,31,14.8,11370.12,832.89,9,2024,2797
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,49,20.23,14317.31,1635.43,9,2024,5724
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,39,16.18,14223.89,11.46,9,2024,39
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,46,21.85,11181.52,439.93,10,2024,1525
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,39,21.7,13728.07,340.6,10,2024,998
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,15,12.14,9532.36,861.35,10,2024,2607
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,19,22.0,14573.6,1533.26,10,2024,5097
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,28,14.05,10495.89,9.1,10,2024,37
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,18,14.29,12795.55,418.9,11,2024,1380
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,40,16.98,11725.82,339.76,11,2024,1170
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,26,20.16,14416.75,668.29,11,2024,3046
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,37,19.55,12514.33,1622.45,11,2024,6263
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,53,13.36,9199.59,9.4,11,2024,38
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,41,12.91,13094.84,407.59,12,2024,1796
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,47,19.84,11289.88,314.65,12,2024,1178
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,38,12.46,12517.05,751.17,12,2024,3299
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,57,17.8,10989.03,1522.36,12,2024,7484
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,25,13.39,12626.87,8.73,12,2024,36
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,39,20.97,11713.52,426.81,1,2025,1180
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,33,20.22,11008.29,281.71,1,2025,862
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,36,12.89,9780.12,787.45,1,2025,2319
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,28,15.3,10879.7,1255.37,1,2025,4061
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,36,12.82,13900.22,11.68,1,2025,29
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,15,12.85,12388.31,477.8,2,2025,1111
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,36,14.36,13278.48,303.75,2,2025,913
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,21,18.87,13740.78,879.88,2,2025,2326
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,59,20.67,11057.89,1438.3,2,2025,5153
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,42,12.2,10882.42,8.85,2,2025,30
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,40,17.35,10396.16,374.87,3,2025,1132
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,55,16.98,9595.63,304.45,3,2025,992
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,48,17.58,12329.52,820.63,3,2025,2425
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,40,18.08,10457.1,1498.95,3,2025,4493
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,20,18.06,10418.11,8.41,3,2025,28
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,18,20.51,9600.92,448.94,4,2025,981
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,38,20.97,9559.04,302.94,4,2025,840
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,45,20.97,12271.86,933.57,4,2025,2271
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,29,20.17,10531.24,1302.53,4,2025,4097
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,29,17.35,11728.06,11.35,4,2025,26
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,19,13.87,10891.17,388.07,5,2025,903
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,15,18.11,10699.39,309.75,5,2025,726
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,25,21.32,10874.55,830.04,5,2025,1945
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,19,12.63,14537.06,1393.41,5,2025,3294
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,16,12.88,9879.65,8.01,5,2025,24
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,52,16.12,11029.01,468.72,6,2025,1150
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,58,16.09,14225.04,358.91,6,2025,907
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,15,19.41,12263.52,909.39,6,2025,1940
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,22,20.28,13226.75,1679.72,6,2025,3917
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,33,18.65,11982.21,9.44,6,2025,28
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,59,17.88,12857.28,392.31,7,2025,1081
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,52,17.4,11520.81,309.3,7,2025,779
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,31,21.0,11220.65,813.94,7,2025,1899
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,20,21.4,12554.82,1400.94,7,2025,3482
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,29,20.79,11830.96,10.97,7,2025,24
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,41,19.44,9303.49,411.18,8,2025,1607
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,24,16.94,13249.36,252.35,8,2025,946
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,59,13.27,11293.96,895.13,8,2025,3400
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,19,16.86,11357.8,1663.13,8,2025,5221
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,50,17.43,10497.84,9.38,8,2025,39
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,25,21.59,10994.29,356.38,9,2025,793
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,57,13.53,12327.85,300.71,9,2025,719
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,39,14.56,13093.2,829.75,9,2025,1951
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,45,18.07,11440.84,1641.87,9,2025,3656
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,54,20.4,14103.27,8.49,9,2025,23
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,50,13.25,14158.85,459.18,10,2025,952
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,54,18.08,11195.56,329.31,10,2025,767
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,40,15.33,11298.78,811.97,10,2025,1816
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,25,21.23,11668.31,1488.5,10,2025,3323
P1,Planning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,58,21.13,10478.3,10.31,10,2025,26
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,20,12.34,10824.38,444.88,11,2025,1386
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,35,17.15,14458.16,295.08,11,2025,1122
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,34,16.15,9587.03,959.0,11,2025,3488
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,27,15.97,11455.39,1679.87,11,2025,5638
P1,Execution,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,46,16.68,12539.87,9.51,11,2025,41
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Conductor,15,19.76,11600.4,403.9,12,2025,1095
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Insulator,42,16.81,11839.65,331.84,12,2025,860
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Steel,53,19.53,10610.04,927.18,12,2025,2348
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Cement,48,16.09,9258.91,1293.69,12,2025,4685
P1,Commissioning,Karnataka,South,Coastal,220kV,AIS,152,1759,Transformer,15,17.52,10509.28,8.78,12,2025,27
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,51,13.79,10103.36,358.11,1,2023,694
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,28,18.03,10774.64,355.52,1,2023,469
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,51,13.41,9030.24,743.68,1,2023,1421
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,47,14.08,7375.57,1308.86,1,2023,2499
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,50,18.43,10326.39,11.64,1,2023,16
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,16,15.63,7409.1,452.9,2,2023,661
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,51,16.09,9664.72,292.34,2,2023,551
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,36,19.8,7757.62,821.05,2,2023,1360
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,37,20.0,9112.23,1213.48,2,2023,2614
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,59,16.03,8209.71,10.58,2,2023,17
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,18,13.32,11182.89,430.6,3,2023,669
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,35,20.15,9429.68,248.06,3,2023,530
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,51,18.51,10874.36,706.05,3,2023,1591
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,21,17.73,10910.79,1442.63,3,2023,2621
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,16,13.66,10474.87,8.33,3,2023,14
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,35,20.37,9164.41,466.48,4,2023,700
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,53,18.1,11395.18,287.6,4,2023,501
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,34,13.62,10925.7,910.85,4,2023,1347
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,59,13.55,9975.24,1484.54,4,2023,2635
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,15,16.95,10258.68,9.74,4,2023,14
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,53,12.76,7598.75,320.37,5,2023,697
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,31,21.5,9202.8,262.22,5,2023,468
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,30,20.73,10449.57,898.1,5,2023,1370
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,20,21.81,11195.05,1588.0,5,2023,2431
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,40,12.52,10178.16,8.18,5,2023,15
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,21,12.34,10297.96,367.58,6,2023,665
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,22,21.71,11373.22,296.91,6,2023,444
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,32,17.22,10067.65,848.05,6,2023,1238
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,38,14.3,7785.19,1246.17,6,2023,2255
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,37,12.65,8633.4,10.16,6,2023,16
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,43,18.62,10474.1,403.23,7,2023,646
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,16,12.24,11050.15,242.55,7,2023,406
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,27,17.29,11350.58,895.61,7,2023,1120
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,58,18.28,11065.74,1790.45,7,2023,2622
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,24,12.92,8725.23,10.09,7,2023,12
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,18,19.16,9826.16,364.36,8,2023,522
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,29,16.28,8934.13,321.56,8,2023,438
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,38,16.67,9932.02,693.45,8,2023,1146
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,18,14.32,11366.54,1589.79,8,2023,2019
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,24,12.47,8933.1,8.15,8,2023,15
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,17,20.26,10748.15,420.76,9,2023,523
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Insulator,34,21.95,8017.49,287.55,9,2023,389
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Steel,32,18.96,7930.37,901.07,9,2023,1074
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Cement,39,17.93,9786.86,1254.89,9,2023,2074
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Transformer,55,15.91,8449.01,9.91,9,2023,15
P2,Planning,Rajasthan,North,Coastal,220kV,AIS,121,1377,Conductor,39,17.51,7638.91,385.35,10,2023,576
